tick, CC, CD, DC, DD
0,0,1,0,0
1,0,2,0,0
2,0,2,0,0
3,0,2,1,0
4,0,3,0,0
5,0,2,1,0
6,0,3,1,0
7,1,4,1,0
8,1,6,2,0
9,1,5,3,0
10,1,5,3,0
11,0,6,3,2
12,0,9,4,1
13,0,11,3,2
14,0,12,2,4
15,2,14,2,5
16,1,14,2,4
17,1,12,2,5
18,1,15,1,5
19,1,16,1,6
20,3,18,1,5
21,2,17,3,6
22,2,18,3,8
23,2,19,2,6
24,3,19,2,6
25,3,21,3,6
26,5,21,4,6
27,6,22,3,6
28,7,24,3,8
29,9,24,3,9
30,11,24,2,9
31,8,32,1,8
32,8,31,1,9
33,8,36,1,9
34,7,32,1,9
35,7,32,1,9
36,7,32,1,10
37,5,30,1,12
38,8,29,1,12
39,9,30,1,11
40,9,28,1,9
41,8,29,1,9
42,10,25,1,8
43,12,26,1,7
44,13,29,0,7
45,15,29,1,6
46,19,32,1,7
47,21,32,1,6
48,21,33,1,8
49,20,32,1,10
50,23,38,1,10
51,24,38,2,11
52,27,34,2,10
53,27,29,2,10
54,26,35,3,7
55,26,36,4,7
56,26,36,5,7
57,27,34,5,8
58,27,40,4,7
59,30,40,4,8
60,31,42,8,8
61,33,39,5,8
62,35,42,6,7
63,38,46,5,8
64,39,46,5,10
65,39,44,8,9
66,36,38,10,10
67,36,35,13,11
68,37,36,15,9
69,35,37,16,11
70,39,38,16,13
71,42,37,19,13
72,40,38,16,10
73,42,35,15,10
74,44,34,16,9
75,48,33,16,12
76,56,38,17,12
77,55,42,19,13
78,54,39,23,16
79,59,39,22,18
80,58,38,21,20
81,59,36,21,20
82,53,34,23,20
83,54,36,22,18
84,51,36,26,19
85,47,35,24,20
86,50,35,25,22
87,49,38,29,20
88,56,37,28,20
89,56,39,30,20
90,56,38,29,23
91,55,36,29,22
92,56,35,27,26
93,55,38,30,28
94,58,38,28,29
95,59,42,31,30
96,56,39,37,29
97,53,43,41,34
98,62,45,43,34
99,59,47,38,37
100,58,45,42,41
101,61,41,45,34
102,65,41,42,40
103,60,42,43,39
104,60,42,49,42
105,63,38,50,44
106,64,38,53,44
107,68,38,54,43
108,72,39,48,44
109,71,38,56,51
110,74,39,57,48
111,76,41,57,48
112,78,43,55,49
113,71,45,58,47
114,67,44,53,51
115,66,47,60,53
116,65,48,60,57
117,71,52,62,50
118,75,53,64,51
119,71,55,68,53
120,64,55,65,55
121,64,58,67,49
122,63,62,71,50
123,62,62,70,51
124,65,60,70,52
125,61,60,77,51
126,61,62,80,52
127,67,61,81,54
128,70,64,82,52
129,71,67,86,54
130,78,72,83,50
131,81,76,85,54
132,79,75,89,57
133,80,77,86,64
134,88,76,82,64
135,85,77,78,67
136,86,87,82,68
137,91,94,83,66
138,91,98,82,75
139,99,102,89,80
140,104,100,92,81
141,103,105,89,81
142,102,101,88,87
143,100,99,94,86
144,99,99,99,87
145,98,104,95,84
146,103,107,91,81
147,107,100,90,80
148,113,105,92,73
149,122,100,96,71
150,115,112,100,71
151,117,108,90,70
152,113,113,97,71
153,115,111,101,75
154,109,111,104,74
155,106,120,107,71
156,102,123,109,75
157,97,130,111,73
158,96,140,112,72
159,100,139,109,81
160,105,134,102,82
161,106,148,100,78
162,111,149,110,82
163,112,158,114,91
164,114,164,114,100
165,120,168,112,101
166,119,164,114,110
167,124,167,112,109
168,128,179,113,106
169,124,177,115,110
170,125,174,123,117
171,126,174,125,113
172,125,185,122,115
173,131,182,122,122
174,131,187,126,117
175,125,182,128,121
176,129,187,126,128
177,135,183,119,120
178,139,177,125,112
179,145,183,130,115
180,146,183,140,119
181,141,187,136,125
182,151,192,132,125
183,150,196,137,122
184,151,194,145,123
185,156,192,143,135
186,148,194,152,134
187,145,199,153,136
188,147,196,144,135
189,147,198,146,135
190,161,190,155,135
191,157,186,142,131
192,149,189,144,134
193,143,188,132,134
194,153,188,128,127
195,143,190,124,132
196,144,195,125,133
197,144,186,126,129
198,147,196,130,124
199,145,196,130,126
200,146,186,130,127
201,142,181,120,125
202,138,200,122,120
203,159,214,127,126
204,163,206,133,126
205,159,208,138,130
206,156,214,139,130
207,150,221,133,139
208,144,227,130,148
209,148,229,126,147
210,157,230,126,151
211,160,242,120,148
212,163,241,125,155
213,161,242,127,156
214,173,245,124,161
215,171,249,119,150
216,168,247,122,150
217,169,259,122,150
218,162,256,118,147
219,170,265,116,155
220,177,270,118,154
221,190,262,124,153
222,193,266,116,153
223,193,253,120,143
224,189,258,123,145
225,186,260,115,140
226,183,261,114,150
227,174,256,120,154
228,170,260,121,154
229,173,273,123,158
230,174,283,118,170
231,168,287,116,173
232,175,295,119,178
233,183,305,116,177
234,182,309,115,177
235,186,293,108,172
236,195,285,107,178
237,197,279,107,183
238,187,290,108,184
239,189,301,109,183
240,183,302,102,189
241,197,303,102,205
242,195,308,103,208
243,201,304,114,208
244,204,304,114,201
245,208,313,125,205
246,210,318,129,201
247,201,321,123,208
248,208,332,120,204
249,203,323,127,208
250,199,314,129,201
251,200,323,139,195
252,203,338,133,204
253,199,334,138,189
254,207,333,139,189
255,203,331,139,197
256,221,337,142,195
257,209,342,145,184
258,218,349,147,186
259,212,351,134,186
260,216,347,138,188
261,228,352,139,194
262,228,358,142,199
263,234,358,131,193
264,239,350,132,196
265,231,346,129,208
266,232,347,127,204
267,236,347,127,205
268,243,354,130,211
269,245,346,132,214
270,239,347,130,225
271,236,357,126,233
272,243,348,121,229
273,264,354,129,219
274,266,365,131,220
275,276,372,134,230
276,277,379,139,229
277,276,386,141,236
278,269,389,147,237
279,263,393,145,245
280,257,402,138,232
281,253,404,127,243
282,238,392,132,239
283,251,368,128,249
284,245,358,133,257
285,241,358,126,260
286,250,362,127,255
287,250,369,132,265
288,251,380,139,259
289,245,387,141,273
290,237,381,144,257
291,243,376,149,260
292,233,355,151,256
293,236,360,141,269
294,228,359,143,263
295,228,361,155,253
296,227,368,153,247
297,221,364,151,247
298,218,375,147,252
299,220,377,150,257
300,214,372,147,249
301,214,378,149,246
302,231,373,147,245
303,234,379,159,244
304,234,387,164,239
305,240,382,162,241
306,230,400,168,248
307,223,404,173,264
308,230,398,162,263
309,223,388,159,250
310,233,392,162,250
311,242,407,161,240
312,247,395,156,239
313,245,392,158,237
314,233,385,149,245
315,221,384,150,237
316,229,392,157,236
317,239,396,152,236
318,245,389,148,233
319,246,378,150,240
320,242,385,150,239
321,250,390,147,234
322,241,404,149,235
323,229,395,150,232
324,214,405,155,237
325,232,417,157,241
326,221,415,151,237
327,228,412,145,253
328,237,412,147,248
329,236,407,147,246
330,229,414,141,240
331,235,418,137,250
332,230,414,135,246
333,230,414,139,255
334,223,398,134,265
335,224,412,132,267
336,212,409,137,271
337,208,412,146,280
338,213,406,140,273
339,213,400,133,262
340,224,393,135,267
341,226,388,132,265
342,233,369,131,273
