CC, CD, DC, DD
0,0,1,0
0,0,1,1
0,0,1,1
0,2,1,1
1,2,1,1
1,2,1,2
1,3,2,1
1,4,3,1
2,3,3,1
4,4,3,1
4,3,2,1
4,4,1,1
5,4,1,3
5,3,1,4
5,3,2,7
7,3,3,5
9,3,4,5
10,3,4,5
10,3,6,6
14,3,5,6
13,4,6,7
13,4,5,7
12,4,5,10
13,6,5,11
13,6,4,12
17,8,3,13
17,7,4,16
19,7,3,16
22,8,4,17
20,9,5,18
21,9,6,19
26,10,5,19
25,9,5,23
27,11,6,22
29,13,6,22
33,15,6,24
34,16,8,20
36,18,9,18
33,17,9,19
39,14,9,20
40,14,11,20
38,18,13,20
35,26,15,18
35,26,18,21
40,27,18,22
42,28,16,22
42,33,17,26
42,30,21,23
45,28,25,26
42,28,23,25
42,30,24,29
43,32,29,30
40,34,29,31
41,34,26,29
40,32,24,37
47,31,22,41
46,34,22,44
44,34,21,45
48,37,22,47
44,33,23,43
45,34,24,42
44,37,23,41
44,35,21,50
46,37,26,54
44,36,30,56
44,44,35,59
45,41,39,59
43,38,40,66
42,41,38,64
39,42,47,73
46,37,47,70
39,40,50,70
38,43,58,65
41,40,59,71
40,45,52,71
45,41,52,72
45,42,54,72
48,47,56,68
45,48,50,72
43,53,55,74
42,59,52,74
39,60,54,67
41,62,54,69
41,65,51,71
40,64,52,71
40,57,50,69
46,57,46,64
44,62,46,65
45,61,46,61
44,62,41,61
43,59,44,62
41,63,46,63
44,66,57,60
37,65,61,56
36,65,56,57
39,65,57,58
41,64,60,67
39,67,54,72
40,68,53,73
42,68,50,76
